iter	MultiClass
0	1.373198097
1	1.361366998
2	1.35072674
3	1.341133882
4	1.332467088
5	1.324667189
6	1.317551114
7	1.311092003
8	1.305222485
9	1.299883517
10	1.295023088
11	1.290595182
12	1.286579619
13	1.282917011
14	1.279554405
15	1.276485576
16	1.273684142
17	1.27114104
18	1.268803823
19	1.26666941
20	1.264731987
21	1.262950598
22	1.261323808
23	1.259838306
24	1.258481958
25	1.25724369
26	1.256113391
27	1.255081822
28	1.253254302
29	1.25161571
30	1.250114866
31	1.24876259
32	1.247539525
33	1.246376369
34	1.245398909
35	1.242677991
36	1.240311969
37	1.238085564
38	1.236088316
39	1.234336048
40	1.232586614
41	1.23103792
42	1.22956322
43	1.228388561
44	1.227145963
45	1.225881898
46	1.224776115
47	1.223740478
48	1.222739549
49	1.221800231
50	1.220959871
51	1.220167328
52	1.219522931
53	1.218842461
54	1.218278857
55	1.217666553
56	1.217074687
57	1.216555687
58	1.216089966
59	1.215531466
60	1.214995384
61	1.214497193
62	1.213998258
63	1.213633275
64	1.213210535
65	1.212884337
66	1.212465367
67	1.212143489
68	1.211723128
69	1.211498213
70	1.211115203
71	1.210865212
72	1.210611292
73	1.210296551
74	1.210058667
75	1.209851871
76	1.20958322
77	1.209292831
78	1.20913195
79	1.208993582
80	1.208726731
81	1.208478789
82	1.208266869
83	1.208016827
84	1.207756464
85	1.207426935
86	1.20705893
87	1.206824694
88	1.206665706
89	1.206368461
90	1.206125695
91	1.205865854
92	1.205651445
93	1.205498204
94	1.205336364
95	1.205190787
96	1.20508753
97	1.204945
98	1.204806495
99	1.204698509
