iter	Passed	Remaining
0	170	16852
1	285	13998
2	410	13267
3	524	12584
4	654	12438
5	745	11687
6	853	11341
7	959	11030
8	1079	10912
9	1186	10676
10	1325	10725
11	1447	10618
12	1559	10437
13	1652	10151
14	1777	10073
15	1894	9946
16	2012	9826
17	2102	9577
18	2240	9549
19	2360	9442
20	2448	9211
21	2566	9099
22	2716	9095
23	2844	9007
24	2969	8909
25	3080	8768
26	3189	8623
27	3297	8478
28	3464	8483
29	3735	8715
30	3908	8698
31	4161	8843
32	4358	8848
33	4610	8949
34	4782	8881
35	5048	8974
36	5301	9026
37	5546	9049
38	5823	9109
39	6131	9197
40	6465	9304
41	6794	9382
42	7112	9427
43	7357	9364
44	7674	9379
45	7980	9368
46	8283	9340
47	8574	9289
48	8865	9227
49	9124	9124
50	9440	9070
51	9764	9013
52	10068	8928
53	10347	8814
54	10728	8778
55	11178	8783
56	11556	8717
57	11942	8648
58	12279	8533
59	12609	8406
60	12916	8257
61	13181	8079
62	13447	7897
63	13732	7724
64	14001	7539
65	14285	7359
66	14555	7169
67	14819	6973
68	15081	6775
69	15343	6575
70	15616	6378
71	15934	6196
72	16202	5992
73	16478	5789
74	16752	5584
75	17007	5370
76	17258	5155
77	17507	4938
78	17776	4725
79	18046	4511
80	18292	4290
81	18534	4068
82	18786	3847
83	19047	3628
84	19290	3404
85	19541	3181
86	19795	2958
87	20049	2734
88	20321	2511
89	20562	2284
90	20825	2059
91	21070	1832
92	21314	1604
93	21572	1376
94	21821	1148
95	22082	920
96	22340	690
97	22614	461
98	22867	230
99	23127	0
